A,B,C,D
1699,1646,1700,288
1850,925,925,677
1861,1555,823,1326
541,139,1786,1400
491,982,491,1623
506,253,253,60
171,171,342,934
408,816,408,1292
334,334,334,1718
196,196,196,799
1806,310,1486,1605
1074,1916,492,1424
382,16,499,860
992,1815,1180,1144
1352,1352,1352,479
906,1727,59,403
1302,1301,98,342
1496,748,748,545
310,155,155,1144
619,1238,619,451
816,408,408,797
1291,1472,1195,1673
247,799,1682,142
795,653,403,1270
29,1556,769,323
1908,954,954,1480
440,440,880,1304
1273,1416,1929,270
540,540,1080,737
454,166,996,325
793,220,947,1300
18,18,18,1910
716,1791,1511,1229
1218,1087,1778,852
1891,1952,1741,18
1124,638,14,197
1212,1061,380,1225
556,1707,1034,786
507,507,1014,1188
1066,1783,18,896
1792,268,1973,1023
443,886,443,1621
1808,904,904,1227
44,1756,371,1669
1967,1297,1268,889
1797,1702,199,919
1627,1639,1472,336
751,322,1505,1307
1087,1458,1373,232
374,187,187,1950
1927,941,609,1309
1668,68,329,25
503,1627,259,502
1841,1258,888,1394
607,607,607,1598
848,848,848,1209
1645,1554,204,1043
207,1676,556,628
548,859,381,557
738,369,369,393
746,746,1492,1229
1248,1248,1248,1701
1075,1062,996,703
422,422,844,1945
629,683,632,1374
936,1872,936,364
220,1515,1408,556
637,1692,817,1854
941,1438,510,525
1188,594,594,1427
103,206,103,726
1699,1699,1699,667
1363,976,1243,455
979,1380,1065,27
371,1943,408,542
1031,51,621,924
211,211,211,1852
327,654,327,1912
794,397,397,431
943,1715,1961,1254
1350,986,1276,798
1750,1750,1750,917
1732,1265,780,442
1468,734,734,1805
271,910,596,1515
1730,194,1899,1319
1126,453,1304,749
641,88,958,1593
1671,1671,1671,631
401,401,401,1589
807,807,1614,1864
1730,1520,1973,468
351,509,279,702
296,592,296,1476
427,427,854,531
827,534,1769,357
1060,1060,1060,1229
896,914,593,392
807,1614,807,1986
1326,1326,1326,748
384,38,1883,1509
1544,305,432,1881
812,1633,1183,1302
45,1106,1759,1380
76,38,38,1183
305,1027,1354,1155
1798,1262,866,174
1297,52,1384,1280
1811,1928,1603,1180
1367,1367,1367,1500
131,1256,579,405
994,191,1168,1213
1194,315,1125,1022
165,1593,1536,1688
574,781,920,1039
456,912,456,761
1253,1375,1906,1887
928,1856,928,1314
994,1339,1285,224
546,546,1092,1067
113,113,226,78
1415,1844,1249,110
190,889,655,1118
1780,890,890,977
981,1962,981,1738
1281,1459,1199,1289
598,955,156,1329
428,856,428,1925
19,667,683,316
1369,1283,1756,43
751,1682,793,1584
1817,1817,1817,1672
605,1913,243,1278
1847,1847,1847,808
109,1381,794,1645
989,1978,989,356
1552,846,1516,1073
995,995,1990,1947
605,572,1364,603
656,328,328,434
985,1308,1620,1885
111,809,1763,579
203,498,427,352
1652,673,799,749
1524,1524,1524,711
1809,1809,1809,74
831,831,831,684
1793,1793,1793,1759
154,154,308,824
778,206,1840,1109
1464,1732,144,221
1028,523,772,318
338,676,338,1628
1302,1873,1765,1329
1409,78,573,1461
538,538,1076,382
455,910,455,1764
1509,953,1270,300
791,1923,367,1533
440,614,1620,1679
541,1588,1415,1020
31,507,1532,376
1575,78,559,1048
981,1966,1060,85
584,1593,980,95
1561,390,174,1575
1327,1032,253,1902
1492,109,69,1926
783,783,783,1684
278,1759,796,624
13,13,13,847
987,1974,987,1862
1185,1185,1185,373
681,681,1362,1331
905,1374,1324,1973
626,313,313,14
962,481,481,1087
1923,1887,1881,774
77,154,77,1820
1908,1061,514,743
828,414,414,1211
925,1198,917,1707
374,748,374,1502
594,297,297,186
1648,824,824,838
1850,1525,1656,431
981,981,1962,109
673,673,673,854
989,1676,931,705
8,1534,1658,352
272,272,272,911
559,1118,559,1771
839,442,1111,1903
1755,724,598,73
318,405,1589,1880
387,387,774,11
327,654,327,1730
299,598,299,321
54,1773,1307,1323
1023,70,1429,60
1902,977,1064,1293
1995,780,655,441
616,1232,616,547
1147,96,449,327
1365,626,1351,899
1111,136,1773,1141
1248,624,624,188
808,808,1616,148
1764,347,1219,1541
1962,1026,1603,116
1904,1999,1721,1683
1499,603,874,523
845,48,1854,264
952,476,476,1339
41,82,41,1372
383,1174,1038,1939
1815,1584,1238,1356
508,450,1632,1928
210,362,1443,1331
1743,847,1255,1271
741,967,1873,1412
1431,530,146,1672
592,1627,1617,1787
295,590,295,1920
906,932,527,1723
1275,934,343,54
733,951,828,1618
1287,724,1466,1279
1293,1837,905,350
1309,1912,1507,576
967,967,967,969
726,1452,726,1487
23,23,46,558
1785,1785,1785,390
1484,1834,1785,716
1373,33,455,1290
328,393,1905,1113
717,717,717,518
424,1673,1452,1088
1825,972,351,548
1613,1613,1613,1637
1379,213,208,1369
451,181,226,1331
521,521,1042,488
66,1648,1984,966
328,1181,811,192
286,143,143,1918
1437,1734,506,209
1332,805,399,100
1903,1763,118,339
273,1246,68,262
1482,517,1091,1429
1328,1052,1071,1984
375,1012,1378,538
1242,621,621,1475
70,22,298,1595
439,892,1647,413
749,1258,367,233
853,381,1231,1622
1762,881,881,1788
149,392,1364,1260
1275,1613,1687,381
617,1603,173,440
1029,118,1029,724
1252,629,1907,1191
1823,1823,1823,916
1428,647,1108,162
574,835,472,1687
732,366,366,1218
264,264,264,1260
61,61,122,522
505,1601,1880,263
1571,1383,537,627
809,1618,809,1776
945,1549,1975,1370
1561,103,1123,195
44,44,88,1099
387,252,1500,1623
536,1072,536,1126
1459,1415,1339,964
447,447,447,1401
1633,1508,534,1077
1684,1528,1430,1482
411,583,882,891
712,1424,712,252
658,1999,1311,1393
1253,1766,978,1159
239,229,941,1415
1956,614,1066,1203
1846,1846,1846,1226
874,874,1748,1551
1741,1882,326,351
284,1294,1507,314
773,1801,347,721
476,476,476,494
596,1192,596,1052
1645,1330,1646,1039
1868,689,1142,1309
1591,602,1398,660
547,1172,1641,686
1500,690,1379,877
702,702,702,380
1987,171,1279,1323
1937,1241,1510,498
1858,1348,1642,365
784,1568,784,558
638,1930,332,1539
508,254,254,1240
572,280,1771,717
288,1731,22,582
905,905,1810,1815
462,924,462,450
123,1125,372,443
877,1999,1806,1553
655,655,655,166
570,80,925,731
1678,185,184,1915
1529,1964,121,3
1795,1286,1989,170
518,259,259,1787
392,941,1466,1976
174,766,1897,1490
949,949,1898,1556
470,235,235,1729
1267,1683,364,1867
484,1478,94,1691
758,758,1516,94
1321,1015,215,139
1928,1549,93,772
627,627,1254,600
1175,1175,1175,1319
742,1300,990,1722
293,1994,251,1784
76,38,38,1927
1926,963,963,1114
818,1636,818,182
422,844,422,1331
600,600,600,815
681,1362,681,1213
1001,308,1876,173
265,265,530,1162
625,1250,625,1586
1894,947,947,1228
1887,1046,1897,1368
1348,513,1558,1190
1856,787,212,1992
1552,776,776,1898
1158,830,1149,318
487,487,974,964
1583,1992,208,623
1394,1204,1451,1187
418,209,209,551
1725,1334,264,732
315,1171,926,28
436,1656,1302,1702
1096,1852,1191,1735
1814,1411,1678,861
116,488,265,1875
1123,285,632,380
1757,2000,938,980
596,618,6,241
1288,1123,1946,508
719,713,230,1682
1871,974,94,1048
1321,1170,1714,435
732,732,1464,1092
1316,658,658,1715
1364,1304,177,1137
576,288,288,1458
1688,844,844,1261
508,1854,1934,1449
1421,1421,1421,35
1677,170,400,289
211,733,1095,1381
996,114,1429,1294
172,86,86,539
1196,411,370,877
871,1973,241,684
807,1217,930,898
1204,602,602,390
162,1653,1091,1348
913,913,1826,1176
525,525,525,1442
1287,189,1935,82
1169,1576,777,478
1969,58,11,635
396,393,1126,1199
413,1932,1832,128
1428,1428,1428,194
1704,69,36,1794
470,940,470,550
768,1896,1240,1709
632,632,1264,1912
1069,550,1228,1868
823,1084,1622,1852
1374,1872,145,288
1202,1351,864,1414
70,35,35,1851
676,927,1115,1800
1068,865,651,1364
1724,862,862,219
472,472,944,29
87,1066,427,1637
117,117,117,1542
1850,925,925,732
1860,225,688,385
1118,559,559,1436
389,1387,142,844
1805,61,1678,1794
634,317,317,211
425,397,90,1603
235,1814,1266,57
1561,790,1783,1697
413,590,1872,813
462,924,462,986
858,1187,608,247
564,1336,1255,1531
1758,879,879,1447
1192,596,596,809
508,1540,456,1371
390,1542,1228,1777
1428,354,1756,860
437,246,1236,359
1385,364,765,1698
355,1159,1846,855
484,242,242,748
1561,1100,1004,431
826,703,814,569
1016,1739,1726,1326
1408,1626,850,1633
180,1307,1348,417
825,808,1656,1361
1502,1103,1309,470
941,1619,1745,1406
1982,444,41,27
1567,1567,1567,1398
425,1342,814,145
1633,87,918,1600
720,360,360,35
1660,1660,1660,1654
43,86,43,842
64,32,32,1769
587,587,1174,518
50,50,100,1271
285,1499,1646,282
88,1816,1535,447
491,432,1570,11
1561,679,866,138
357,621,1829,118
1661,1045,408,85
491,779,1617,758
778,389,389,1083
1219,1219,1219,823
1773,1773,1773,916
1246,628,728,41
4,4,8,965
351,351,702,626
1968,984,984,1156
330,660,330,1115
288,576,288,1774
1042,94,630,63
235,1703,961,1778
1528,764,764,446
357,357,714,967
1481,675,1279,541
1862,324,247,624
251,963,163,354
1908,1076,1970,1784
1147,1834,1451,661
298,298,596,1007
1343,1259,1361,1998
308,1899,1428,1348
572,1499,1790,799
450,625,764,1049
1944,1130,1692,1484
506,506,1012,1757
1250,625,625,174
1639,1789,310,157
116,232,116,529
421,842,421,1342
937,1096,1227,630
738,1811,964,1358
1682,696,663,664
356,1747,1850,1940
57,57,114,1621
1929,1523,292,340
42,21,21,1171
910,910,1820,901
420,1685,242,692
250,125,125,856
763,763,763,1820
15,1010,1189,1070
1722,1177,1423,1306
459,1745,827,508
1819,1886,1776,1327
721,721,1442,910
556,1125,1486,803
518,259,259,1660
599,1198,599,1454
370,370,740,1662
367,367,367,1981
1620,52,1497,1874
28,56,28,530
1314,657,657,1201
404,549,594,1695
276,138,138,232
1000,2000,1000,695
1488,1488,1488,1651
150,150,300,1511
1742,562,1861,216
1003,879,975,1929
836,848,394,1895
289,725,681,332
56,127,1391,673
718,242,1191,1978
399,798,399,995
242,484,242,1707
1256,123,348,51
1044,677,1978,1023
74,148,74,871
732,1464,732,350
1750,1639,1682,481
22,499,843,1554
1528,1528,1528,278
1123,1335,1338,1632
36,18,18,794
1714,1714,1714,635
447,447,894,981
1638,819,819,660
1686,1839,1095,1316
502,1617,1944,914
319,904,477,1424
696,595,606,573
1627,1140,29,333
77,77,154,1448
1691,92,1334,455
189,189,189,341
1597,975,874,393
646,749,670,767
1188,811,370,1110
875,339,1392,770
942,942,1884,563
1130,73,26,533
787,787,787,1928
475,950,475,493
164,164,328,457
1943,1943,1943,3
938,1514,142,1807
486,1517,1442,1590
1562,1562,1562,378
1964,380,612,729
1765,414,1679,550
1246,1246,1246,1537
1834,861,115,1192
1924,189,1358,503
787,348,1010,1767
373,373,373,1442
473,946,473,156
702,1535,707,904
273,738,1836,1204
552,989,1132,90
1073,273,1406,1364
292,379,1708,521
634,317,317,1861
1409,1375,675,689
551,1102,551,339
1732,920,310,1578
1669,1770,1686,134
595,1488,1481,91
430,685,1201,364
1003,1003,1003,841
522,1044,522,734
1081,73,658,151
1506,1342,1196,1358
1038,1508,890,883
40,1669,161,537
1024,512,512,14
297,97,887,262
1174,1174,1174,1495
33,46,1101,180
331,331,662,1405
1381,1381,1381,1303
43,43,86,1374
36,72,36,71
276,1164,1641,1566
656,328,328,1807
1745,1386,1977,378
851,851,851,478
1396,1712,988,1755
927,1854,927,603
1466,95,1044,1273
24,12,12,1768
1074,1901,122,289
754,1158,390,964
1114,1213,1002,1486
1672,1503,1466,118
555,555,1110,1896
2000,230,1583,804
395,4,1033,579
585,1030,1825,1348
765,125,168,1876
411,822,411,804
902,126,1136,759
886,92,1332,1698
1829,1829,1829,943
547,1760,687,1967
1565,1010,228,1350
1252,1252,1252,364
137,274,137,1171
917,1834,917,772
1626,813,813,1400
1272,1383,38,739
1146,1146,1146,529
769,1015,565,1310
697,697,1394,597
533,533,1066,1832
172,660,235,652
876,1816,1363,976
1913,1913,1913,965
1444,1337,1192,709
1627,72,1798,134
944,472,472,1558
64,128,64,726
41,41,41,1144
842,421,421,366
1604,1556,895,829
951,951,1902,1021
396,462,445,1231
775,926,258,618
952,941,1153,1619
1105,1217,266,165
421,1503,1120,474
332,332,664,1489
1357,1706,1822,796
1078,635,1435,63
1086,112,1125,1856
1896,451,941,1587
119,238,119,717
481,1720,923,19
1288,118,1237,1751
900,666,1459,855
880,1760,880,1200
1094,837,1632,397
553,553,553,1693
644,644,1288,1354
1323,37,568,1847
183,160,1584,175
1442,476,850,285
22,1721,1816,1047
1519,1519,1519,1698
255,1544,1360,878
878,878,878,383
1718,16,1391,659
141,1632,1729,1740
1687,1825,1824,664
1481,1255,1135,239
70,1660,312,534
936,1872,936,1178
1682,841,841,136
567,1347,69,43
855,1710,855,1566
1725,362,1550,1690
443,443,443,271
1674,837,837,1987
1896,1147,1099,1423
1214,989,1761,1673
736,786,818,1603
59,118,59,1800
911,1566,417,1871
650,325,325,796
1549,1549,1549,706
211,1990,79,450
831,1662,831,673
1302,812,709,1246
691,697,464,1178
1884,1005,1787,1168
81,81,162,483
999,999,999,1428
318,1079,292,1876
722,1758,996,1671
301,602,301,1625
1833,193,1127,567
1277,1953,1315,662
1952,618,768,1978
1306,653,653,1622
1952,629,62,1145
1693,1013,862,1554
306,306,306,84
852,412,176,543
336,404,431,1649
479,394,390,1386
1030,515,515,862
1350,304,1914,427
1751,1005,915,1678
1639,1133,1689,174
210,751,1656,1982
124,124,248,556
1256,740,1116,94
916,423,1904,791
1864,267,563,725
277,580,1603,1935
961,1794,145,466
1941,1250,1223,747
989,989,1978,431
117,225,1491,1825
766,383,383,1983
479,1476,1530,833
1716,756,71,1521
841,841,1682,839
32,1112,888,52
752,525,276,1078
174,161,410,594
879,1179,354,1096
1520,208,1078,116
174,345,582,1204
1174,587,587,1741
195,265,1035,542
927,1854,927,505
503,1875,36,906
738,369,369,1503
924,467,229,1442
1905,1905,1905,1344
628,423,1919,1359
289,578,289,15
124,1400,729,1854
210,321,1109,681
1515,565,1625,786
533,1066,533,100
179,179,358,383
1932,1261,1039,1497
1258,1355,63,1843
694,1388,694,1505
1766,883,883,1407
549,549,1098,1978
43,1970,608,281
864,677,1217,697
482,34,1031,1740
840,1765,350,268
951,951,1902,1978
1956,798,569,1210
877,1134,797,1560
1578,88,1083,1984
704,1130,1613,530
408,816,408,749
1698,1698,1698,1802
1045,1650,519,1411
1391,1167,1660,647
397,1339,407,1294
97,97,194,911
742,371,371,589
1337,562,252,549
1770,1048,1549,1552
1655,1552,1832,13
129,1959,1802,1482
656,656,1312,690
379,1809,252,126
900,900,1800,344
1665,1671,1974,27
583,583,1166,1195
1063,630,1383,98
1556,1307,1129,86
621,621,1242,861
1903,381,22,497
38,2,303,1458
631,1555,418,1908
608,350,300,627
1577,1290,204,131
516,791,1709,862
1462,1352,1406,1215
1032,108,1488,716
232,232,464,535
976,1802,1778,764
419,119,608,1748
151,943,262,291
1382,691,691,746
1406,1406,1406,129
429,429,858,1921
1245,1364,192,1118
862,1217,1131,68
789,1578,789,140
1992,11,673,1036
1790,617,1067,1795
876,357,1392,1994
1726,863,863,1119
453,906,453,1036
1546,915,912,7
88,88,176,13
623,1246,623,1566
1990,42,1983,567
671,1342,671,1812
96,65,242,229
1395,1395,1395,1308
1556,1556,1556,1243
690,88,1708,1156
193,1802,586,57
291,1355,18,1537
693,693,1386,212
1509,842,1190,1207
981,315,1998,38
940,940,1880,1172
981,4,1415,43
1266,1595,1864,776
976,1252,1065,1113
1317,241,359,1155
1567,658,46,1875
348,930,1193,75
838,310,1233,40
1067,447,1474,1522
20,1528,1676,1047
1524,717,849,235
1506,1082,952,1246
1147,1438,1304,741
868,1456,1011,564
509,1746,1054,655
1380,690,690,135
660,355,1740,1657
706,706,1412,1154
374,187,187,550
1012,1735,422,823
1734,867,867,422
386,193,193,355
48,24,24,206
1226,456,1502,1078
1369,241,1584,396
324,648,324,306
66,1680,828,1496
1121,1524,655,430
1512,1202,378,1336
564,923,77,929
543,1086,543,625
1727,362,883,1499
311,267,1804,1089
1622,1081,1656,684
829,829,829,848
1335,745,381,35
279,615,27,1467
1626,1984,1861,940
4,8,4,168
892,1784,892,535
1112,1404,103,1440
261,1533,1296,1111
1258,1992,631,856
1174,1277,345,617
908,1816,908,1071
598,1123,749,651
923,483,1260,774
1199,941,1074,538
1475,676,1884,1731
1105,585,1985,445
728,728,1456,1034
822,411,411,3
1860,480,1018,1852
1434,113,761,333
1485,191,505,1529
1636,1802,1276,304
682,682,1364,336
627,645,495,65
1295,430,1526,1512
1771,1389,800,208
1955,224,1901,1333
1212,606,606,725
1413,1402,963,1304
323,323,646,482
295,590,295,1140
931,931,1862,1454
1462,1746,1743,468
560,280,280,1959
1499,1642,1662,630
1893,183,583,1062
82,1383,1264,650
819,819,819,486
338,676,338,305
973,1973,640,1518
984,481,671,1829
27,27,54,1632
293,293,293,345
1362,938,329,447
278,855,559,1300
481,378,828,1096
523,1046,523,815
1725,1631,913,1664
1417,1150,913,681
782,391,391,1277
282,1558,123,1967
835,1159,1840,1568
1261,662,1974,1729
20,396,1472,437
1773,1314,1711,1500
1473,1473,1473,1153
71,224,1585,742
328,656,328,779
902,542,1167,886
1067,1351,1603,1803
1279,1962,981,648
60,384,1484,1659
1605,1605,1605,421
1020,510,510,827
1109,398,1078,1512
1847,64,77,1965
769,1167,122,579
197,1492,1188,293
1068,863,1165,1376
1963,881,1727,1821
1126,1126,1126,256
987,1757,1188,1474
25,1286,686,452
1140,388,657,1604
1496,748,748,1956
1064,394,383,214
128,83,1344,43
620,1240,620,1117
110,220,110,1917
1914,514,698,685
290,1894,1583,1825
392,637,1557,426
206,412,206,1677
407,814,407,198
1909,1909,1909,1240
438,876,438,191
1332,666,666,1280
84,619,1707,1386
107,783,411,213
1719,562,1484,126
37,465,1800,713
1274,1431,1790,600
637,400,1281,1771
679,252,1924,1051
422,1760,596,698
917,1834,917,1676
481,286,1532,218
616,353,1316,717
802,1604,802,1116
488,488,976,1789
1158,789,1997,951
1340,1018,1348,1412
51,102,51,344
1787,328,266,285
1841,139,1061,1871
870,870,1740,1464
430,860,430,854
1407,1492,1616,1093
391,391,391,799
1458,62,1332,478
756,756,1512,848
1492,294,36,1339
129,1134,696,1579
163,157,615,1220
1577,1577,1577,26
35,35,70,157
234,730,1463,412
1555,1957,1394,295
745,1490,745,800
1338,669,669,1400
1408,887,736,1456
158,158,158,1651
328,1079,646,1448
72,697,443,310
519,519,1038,1569
64,64,64,507
1026,990,1696,224
1303,221,286,1434
1314,266,1846,613
1404,536,428,1848
1009,32,811,364
1621,1621,1621,748
609,1316,515,370
144,144,288,1732
958,958,1916,1636
127,254,127,1078
273,1158,887,143
2,1693,1710,53
1945,1108,845,762
189,189,378,1516
207,207,414,1761
1381,1095,1683,153
307,469,1239,728
525,525,525,679
422,1227,1154,997
1023,1110,927,1036
827,827,1654,1910
429,429,858,986
991,948,1541,1187
26,13,13,143
145,1170,270,989
402,1629,1047,231
865,865,1730,1180
282,564,282,617
24,12,12,619
42,84,42,1687
927,870,568,1721
1849,14,1861,774
238,119,119,1388
120,1050,439,842
103,836,411,302
909,631,1000,847
676,676,676,900
1086,543,543,89
1352,1869,1390,1254
818,818,818,740
1048,524,524,1958
71,71,142,1679
1215,23,1801,453
1975,466,1948,350
664,294,550,889
668,1383,1602,931
1111,1917,368,860
624,312,312,36
581,1517,1335,458
1134,1580,1168,217
1482,1723,146,1694
1917,1000,501,208
525,525,525,1998
1258,629,629,386
1834,917,917,1586
202,898,96,1931
879,1976,910,1591
478,1185,542,1058
753,651,1825,681
382,191,191,63
795,705,368,406
89,1164,1841,684
1713,1625,1644,239
478,478,956,1376
255,883,1471,411
1514,1878,135,1562
7,240,482,354
1489,1567,1075,19
1969,153,251,1596
803,803,1606,1276
1627,1286,1996,1298
155,392,368,1018
1668,834,834,710
214,214,214,1552
146,355,1030,1171
868,868,868,245
526,674,1629,895
1301,1694,1087,1849
361,1622,1614,1979
1485,1158,213,1960
593,1186,593,596
599,299,24,1892
44,88,44,1478
299,598,299,1397
184,1524,1243,1960
541,265,1241,1496
650,1300,650,684
1560,1560,1560,1804
1115,78,449,1911
386,772,386,1496
510,1648,237,1484
1741,1049,687,1203
1895,1668,1775,243
1084,1717,74,1679
325,1257,1055,1776
1181,778,104,34
1569,828,280,1673
1986,269,622,1963
516,516,1032,1412
400,1598,1382,1691
867,119,1566,935
1544,772,772,32
1240,1240,1240,806
670,1341,1784,1863
687,326,1671,19
1756,1808,1595,1334
1441,376,77,105
102,426,1786,820
1651,708,745,585
1739,1061,278,1949
1790,895,895,648
75,605,1664,835
396,1497,426,312
236,173,1766,1648
1764,772,1740,276
82,1988,824,567
1056,528,528,910
704,1106,943,735
1189,1766,458,119
1013,1013,1013,1987
536,1072,536,1123
1474,737,737,364
292,1582,118,1085
938,1632,277,924
475,894,1199,1336
515,103,1628,397
826,826,1652,539
315,1172,683,1322
718,1336,1450,824
560,2000,364,1086
306,1220,858,1250
855,1710,855,186
858,858,1716,1624
471,1611,955,1216
1665,112,760,34
1236,1236,1236,1847
1608,406,1681,429
595,936,900,894
1608,1608,1608,432
613,537,60,294
1095,395,764,1680
1351,1351,1351,848
806,806,1612,1215
1974,1601,825,1925
509,509,1018,1198
263,263,263,1625
1700,1150,1236,259
169,285,1922,910
1219,1410,1481,896
125,250,125,1913
492,1321,272,1457
1001,1240,1285,1376
1678,411,915,548
1093,1716,895,318
1414,1380,1709,623
1282,641,641,1999
322,322,644,481
1390,684,482,1246
854,1433,1762,1114
1732,1676,1007,406
1482,1694,1215,1093
1260,839,1883,1389
1708,854,854,241
231,750,1942,395
942,790,1611,763
1328,609,1786,70
27,27,27,213
406,1870,1850,289
1309,130,493,303
435,435,435,1217
626,185,1514,193
966,719,260,943
416,1570,920,45
921,529,1806,887
913,573,1265,1158
1176,1420,649,387
709,709,1418,6
1480,740,740,500
684,684,1368,226
1228,491,173,846
1567,1866,106,1044
183,686,1715,1201
254,254,254,417
30,15,15,214
1642,1282,1343,999
1543,991,622,326
108,216,108,660
532,1142,606,601
1424,712,712,1879
642,1284,642,1220
604,1019,1146,1990
644,1288,644,190
1693,1755,1106,1659
358,8,1718,1100
1520,869,109,237
671,1406,74,799
154,1960,1635,1355
258,129,129,620
963,176,1616,1907
1230,99,881,457
1664,1664,1664,1100
1468,1087,1053,659
1374,1435,1899,1370
191,191,382,1221
1864,932,932,176
733,733,1466,1666
80,195,700,1282
1732,349,1967,337
684,1380,468,823
1900,940,295,1192
748,748,1496,1424
205,1856,829,1817
824,824,1648,1399
811,556,980,1343
1930,1327,1448,1092
603,1435,1934,709
176,1405,620,1970
769,1816,1884,1794
1583,816,1963,1086
227,35,1716,1099
1300,1300,1300,1521
91,549,1256,1327
40,80,40,1236
796,1827,1483,1180
850,316,1658,330
1754,156,1083,1573
854,854,1708,1601
42,42,42,127
1813,1813,1813,596
1334,1447,466,1611
1766,883,883,1543
1348,1351,338,1087
1003,1226,1245,1816
1320,1825,1423,31
268,560,488,265
1438,719,719,173
632,1601,1232,1080
773,1546,773,355
609,609,1218,1486
1998,999,999,135
454,227,227,1343
1306,1665,991,341
1328,1327,989,1525
1197,1468,1833,1110
1877,1766,332,1187
941,1882,941,580
1601,1832,1762,522
1537,281,208,957
260,1440,383,895
1942,510,1299,590
409,409,818,1927
1638,626,636,225
901,18,1263,933
335,715,466,997
170,340,170,280
736,261,842,471
25,470,532,1331
1566,1209,77,25
822,783,1992,637
809,621,1865,1736
1411,1968,746,1575
486,334,818,469
135,750,3,1625
1020,1322,1474,1016
1238,619,619,391
450,1193,711,1597
1827,664,1479,1804
1220,610,610,1272
1768,992,65,52
1931,259,975,1674
1934,1088,141,577
192,6,1786,887
155,1359,1188,1615
1826,913,913,1325
290,290,290,1423
878,1756,878,289
1369,433,442,1969
1632,816,816,568
1834,917,917,797
409,409,818,1897
65,65,130,299
347,694,347,1978
1180,669,690,268
1908,507,299,1276
1848,924,924,774
1991,19,366,1689
124,124,248,487
698,1396,698,666
677,1354,677,1859
284,1675,1397,917
997,45,1563,1539
801,801,1602,495
1493,1493,1493,347
132,802,433,1753
949,955,917,11
992,496,496,1725
444,81,1992,19
558,1116,558,1201
1414,158,705,900
1611,1472,1161,647
588,1009,303,1929
707,84,1023,1094
1650,1421,431,1559
442,442,884,1493
1028,1022,1199,1307
278,1573,1236,306
417,1101,1462,1334
1668,1077,586,871
1256,628,628,1014
386,1590,1268,693
1756,34,1452,209
1159,1593,935,558
211,422,211,54
268,1918,735,1321
1245,1565,753,1788
1781,290,621,784
1587,1215,1393,991
835,1614,891,558
1528,1219,51,1731
1669,1940,697,573
234,1595,1240,1625
1290,1555,477,1492
738,854,1975,1395
751,751,1502,1640
1032,384,1903,249
494,988,494,495
668,668,1336,793
910,570,440,816
1772,886,886,1736
236,118,118,1749
125,466,1340,710
1559,190,449,15
1871,94,891,1300
876,438,438,1279
381,144,341,406
1292,1705,388,229
1278,287,235,347
180,1320,1811,1063
247,846,122,1035
1224,1008,1906,389
398,1555,852,1532
728,619,638,686
1147,1241,1684,25
811,1187,810,1474
373,373,746,1422
1404,1028,408,1128
1090,545,545,1993
1151,704,865,335
219,219,219,1381
784,392,392,1188
645,645,1290,1757
1374,1080,502,1157
1325,1206,40,469
737,722,1936,213
1027,111,1809,715
1001,519,732,424
1486,1486,1486,1305
1360,680,680,379
272,272,272,3
1598,456,1738,1757
488,976,488,989
1182,369,410,1488
488,488,976,238
1849,1708,698,1620
184,184,184,116
1270,917,1882,827
615,1388,585,43
816,962,1780,1538
342,171,171,312
864,864,1728,294
259,259,518,1163
8,8,8,620
581,581,1162,226
189,189,378,1318
1847,1505,1785,1995
141,271,312,932
15,15,15,515
1886,416,164,1004
80,160,80,1904
355,710,355,756
686,128,828,886
1766,1061,343,1730
967,967,1934,1714
1322,1213,515,1236
1154,1201,879,886
14,28,14,713
996,1936,374,1031
996,849,1102,657
796,1592,796,1418
1930,1873,671,963
272,544,272,1279
1063,1063,1063,1989
1260,1548,1531,1077
1270,1270,1270,418
618,618,618,1855
312,156,156,1013
1445,9,725,1647
1898,949,949,931
1423,834,1304,1134
1991,225,167,1246
1600,370,1071,228
963,1445,473,40
1211,999,946,358
326,652,326,414
263,263,526,1513
394,573,192,58
818,409,409,480
1767,1731,831,1073
955,1631,748,904
1695,1695,1695,1384
1316,1762,583,141
1324,1324,1324,1955
264,542,1065,749
61,367,979,1237
1238,619,619,261
1438,532,760,1780
965,1604,523,1974
1698,1768,730,396
1513,390,1861,1920
694,1388,694,459
1799,1485,317,1179
316,316,632,1335
1376,785,822,432
985,1949,1261,1303
192,564,1243,788
1320,1157,1865,1046
319,319,638,1767
1763,1703,1565,1374
156,156,312,1791
1283,266,421,1374
584,1168,584,217
1708,968,862,815
500,722,791,1137
323,686,795,928
132,132,132,711
1080,39,1062,38
220,182,1505,1634
1925,1925,1925,211
744,641,718,1152
1090,545,545,94
1383,1046,1927,696
1143,1871,486,1273
1006,1265,137,742
316,1411,1129,1824
396,1575,1390,586
1335,1582,917,157
226,226,452,1313
596,596,1192,157
1412,1412,1412,878
1248,1091,47,905
101,303,1502,191
230,230,460,1510
508,1016,508,1114
668,1336,668,1506
624,1222,1672,875
333,1682,1741,1760
627,69,114,366
1864,157,909,539
772,772,772,1625
800,400,400,1028
1644,1078,511,1243
776,341,577,974
737,737,737,910
1496,1496,1496,276
1391,1946,1413,1292
900,1928,1375,871
1470,1008,1584,1215
1136,1766,850,469
1802,1144,810,216
1283,773,604,1325
998,998,1996,751
1224,612,612,442
635,635,1270,180
82,164,82,1970
903,903,903,1617
560,560,560,169
292,292,584,1692
791,791,1582,1829
409,52,1992,825
1782,891,891,573
